,Fluorescent labeling,FRAGMENTS,FREQUENCY
14238,No ,Nc1ncccn1,296
46598,Yes,c-c1ccccn1,295
51076,Yes,cc(c)N1c(c)cC(C)(C)c2ccccc21,295
56795,Yes,ccc(cc)OCCC,294
58179,Yes,ccc1c(c)c(c)c(cc)n1CC,294
6603,No ,CN(C)c1ncccn1,292
7658,No ,CNC1CC1,292
7268,No ,CNC(=O)N(C)C,291
54622,Yes,cc1ccccc1C(N)=O,291
54157,Yes,cc1ccc(OC)cc1,291
38717,Yes,C#Cc1ccc(-c)cc1,291
12906,No ,FC(F)(F)c1ccccc1,291
22346,No ,cc(c)C1=CCN(C)CC1,290
49841,Yes,cc(c)-c1cccs1,290
44808,Yes,O=[N+]([O-])c1ccccc1,290
44,No ,C1CCNCC1,290
60115,Yes,cnc1ccccc1c,290
44338,Yes,Cc1nc2ccccc2s1,290
10150,No ,Cc1c[nH]c2ccccc12,287
43992,Yes,Cc1ccc(O)cc1,286
55759,Yes,ccc(F)cc,285
41597,Yes,CC(C)NC(=O)OC(C)(C)C,285
55525,Yes,ccc(C#Cc(c)c)c(c)c,285
20054,No ,cc(C)c1ccccc1n,285
53167,Yes,cc1cCCCN1CC,283
56250,Yes,ccc(cc)-c1cccc(c)c1,283
1109,No ,CC(C)N(C)C,282
60368,Yes,coc1ccccc1c,282
51262,Yes,cc(c)S(=O)(=O)c(c)c,282
41557,Yes,CC(C)=Cc1ccccc1,281
11067,No ,Cc1ccc(S(N)(=O)=O)cc1,281
31682,No ,ccc1[nH]c(C(N)=O)cc1c,281
43910,Yes,Cc1ccc(C)c(C)c1,280
56326,Yes,ccc(cc)-c1nc(-c)nc(-c)n1,280
26342,No ,cc1cOCCO1,280
32917,No ,ccc1ccccc1n,280
20980,No ,cc(c)-c1nc(C)cs1,279
32834,No ,ccc1cc(C(N)=O)[nH]c1c,279
53213,Yes,cc1cN(c)c2ccccc2C1(C)C,278
13125,No ,NC(=O)C1CC1,278
49657,Yes,cc(c)-c1ccc(-c)s1,277
52778,Yes,cc1c(c)C(CC)(CC)c2cc(N)ccc2-1,277
47103,Yes,c=[N+](C)[B-](F)(F)n(c)c,276
49,No ,C1COCCN1,275
9206,No ,COc1ccc(C)cc1OC,274
28584,No ,ccc(F)c(c)F,274
30025,No ,ccc(cc)C(=O)NC(C)C,274
1382,No ,CC(C)c1ccccc1,274
59669,Yes,cnc(-c1ccccc1)n(c)-c,274
16536,No ,cCC(=O)N(C)C,273
51990,Yes,cc(n)-c1ccccn1,273
1564,No ,CC(N)C1CC1,272
44075,Yes,Cc1ccc2ccccc2c1,272
26841,No ,cc1cccnc1,272
5128,No ,CCOc,271
